0,0,325.39
0,1,146.09
0,2,139.14
0,3,127.47
0,4,114.74
0,5,283.91
0,6,96.45
0,7,272.28
0,8,270.48
0,9,90.13
0,10,90.96
0,11,93.56
1,0,265.28
1,1,88.26
1,2,83.55
1,3,254.08
1,4,63.46
1,5,234.6
1,6,228.87
1,7,46.06
1,8,225.09
1,9,44.95
1,10,225.33
1,11,226.87
2,0,143.92
2,1,326.65
2,2,140.76
2,3,308.93
2,4,115.17
2,5,103.12
2,6,94.82
2,7,90.45
2,8,268.83
2,9,268.49
2,10,88.55
2,11,269.23
3,0,263.24
3,1,88.34
3,2,264.79
3,3,255.29
3,4,63.82
3,5,233.97
3,6,47.72
3,7,45.08
3,8,44.73
3,9,224.99
3,10,224.9
3,11,224.71
4,0,146.82
4,1,142.74
4,2,311.38
4,3,296.88
4,4,103.55
4,5,274.23
4,6,89.58
4,7,88.41
4,8,268.72
4,9,268.92
4,10,268.55
4,11,88.57
5,0,267.9
5,1,86.24
5,2,257.31
5,3,245.24
5,4,54.32
5,5,227.31
5,6,224.77
5,7,45.31
5,8,46.72
5,9,47.17
5,10,226.2
5,11,44.87
6,0,146.23
6,1,144.73
6,2,314.61
6,3,119.83
6,4,105.23
6,5,94.57
6,6,89.3
6,7,88.51
6,8,89.88
6,9,91.05
6,10,270.73
6,11,269.26
7,0,86.58
7,1,267.57
7,2,79.95
7,3,67.7
7,4,235.66
7,5,47.55
7,6,44.71
7,7,46.08
7,8,229.07
7,9,231.04
7,10,230.52
7,11,227.9
8,0,326.27
8,1,138.29
8,2,123.9
8,3,108.21
8,4,95.91
8,5,269.47
8,6,88.63
8,7,91.05
8,8,273.75
8,9,274.54
8,10,272.84
8,11,269.91
9,0,88.32
9,1,262.89
9,2,71.1
9,3,58.08
9,4,48.48
9,5,224.74
9,6,226.46
9,7,231.04
9,8,55.16
9,9,56.3
9,10,53.8
9,11,49.13
10,0,146.83
10,1,321.94
10,2,308.84
10,3,292.53
10,4,98.42
10,5,270.18
10,6,88.55
10,7,91.58
10,8,95.93
10,9,98.55
10,10,97.88
10,11,94.29
11,0,87.97
11,1,265.67
11,2,75.21
11,3,61.63
11,4,230.33
11,5,224.97
11,6,46.2
11,7,231.87
11,8,238.3
11,9,241.97
11,10,241.03
11,11,235.95
12,0,324.96
12,1,134.25
12,2,118.11
12,3,282.33
12,4,91.74
12,5,268.41
12,6,91.2
12,7,276.82
12,8,281.56
12,9,282.83
12,10,280.02
12,11,94.54
13,0,87.7
13,1,259.66
13,2,246.26
13,3,233.35
13,4,225.75
13,5,45.47
13,6,51.28
13,7,59.56
13,8,66.11
13,9,67.85
13,10,243.99
13,11,236.31
14,0,326.67
14,1,319.51
14,2,124.66
14,3,107.78
14,4,94.61
14,5,88.67
14,6,90.1
14,7,96.14
14,8,282.73
14,9,286.41
14,10,105.48
14,11,280.35
15,0,88.33
15,1,83.84
15,2,71.73
15,3,237.72
15,4,47.57
15,5,224.79
15,6,229.46
15,7,238.6
15,8,67.71
15,9,72.72
15,10,251.45
15,11,244.45
16,0,323.85
16,1,311.64
16,2,114.69
16,3,99.2
16,4,90.01
16,5,268.88
16,6,94.11
16,7,281.78
16,8,287.77
16,9,109.34
16,10,105.85
16,11,98.78
17,0,267.01
17,1,77.53
17,2,63.42
17,3,230.92
17,4,224.91
17,5,227.1
17,6,235.68
17,7,246.41
17,8,74.56
17,9,76.7
17,10,251.95
17,11,62.28
18,0,146.44
18,1,138.26
18,2,302.68
18,3,105.67
18,4,273.12
18,5,88.42
18,6,271.42
18,7,278.95
18,8,286.6
18,9,110.77
18,10,109.71
18,11,283.87
19,0,268.35
19,1,262.87
19,2,250.08
19,3,56.01
19,4,46.58
19,5,225.19
19,6,231.63
19,7,242.51
19,8,72.98
19,9,78.64
19,10,257.21
19,11,69.25
