0,0,155.0
0,1,167.02
0,2,356.56
0,3,359.84
0,4,354.27
0,5,343.94
0,6,150.44
1,0,105.31
1,1,321.39
1,2,169.99
1,3,103.36
1,4,343.13
1,5,312.15
1,6,91.64
2,0,341.13
2,1,171.79
2,2,178.75
2,3,357.48
2,4,168.99
2,5,157.71
2,6,317.47
3,0,123.7
3,1,335.68
3,2,176.57
3,3,352.76
3,4,327.3
3,5,113.46
3,6,52.73
4,0,153.77
4,1,165.67
4,2,354.6
4,3,357.63
4,4,352.48
4,5,342.71
4,6,149.01
5,0,281.62
5,1,317.34
5,2,153.35
5,3,146.08
5,4,337.76
5,5,308.46
5,6,267.36
6,0,158.8
6,1,168.64
6,2,174.66
6,3,353.58
6,4,166.17
6,5,335.35
6,6,132.59
7,0,296.73
7,1,296.73
7,2,146.25
7,3,127.64
7,4,341.05
7,5,138.82
7,6,286.38
7,7,38.1
8,0,341.94
8,1,169.52
8,2,214.04
8,3,167.79
8,4,339.19
8,5,324.2
9,0,89.66
9,1,126.13
9,2,268.74
9,3,297.89
9,4,252.91
